,Job ID,Work Location,latitude,longitude
4813,636186,42-09 28th Street,40.7493714,-73.93892728315782
4814,625129,42-09 28th Street,40.7493714,-73.93892728315782
4815,638394,"33 Beaver St, New York Ny",40.7050695,-74.0120653
4816,582627,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4817,623549,55 Water St Ny Ny,40.7032255,-74.00906706900255
4818,634264,1780 Ocean Avenue,40.6187292,-73.9552659
4819,546479,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4820,549839,55 Water St Ny Ny,40.7032255,-74.00906706900255
4821,527780,Brooklyn Floating Staff,,
4822,647768,"158 E 115Th St., N.Y.",40.79761115,-73.94178672164708
4823,650418,30-30 47TH AVE,40.74226485,-73.93643212657696
4824,689708,100 Gold Street,40.71015435,-74.00323001164281
4825,632726,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4826,627413,NYC - All Boroughs,,
4827,681940,4 World Trade Center,40.7102861,-74.01198503932034
4828,606369,55 Water St Ny Ny,40.7032255,-74.00906706900255
4829,625546,"109 E 16Th St., N.Y.",40.735545,-73.9882133
4830,626266,"465 Columbus Ave. Valhalla, Ny",41.1072393,-73.7814049
4831,631316,90-27 Parsons Boulevard,40.75480624856122,-73.81437284365119
4832,604463,42-09 28th Street,40.7493714,-73.93892728315782
4833,595567,30-30 Thomson Ave L I City Qns,,
4834,551356,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4835,635577,4 World Trade Center,40.7102861,-74.01198503932034
4836,630795,55 Water St Ny Ny,40.7032255,-74.00906706900255
4837,688883,"9 Metrotech Center, Brooklyn N",,
4838,686340,"32-20 Northern Blvd, L.I.C. Ny",,
4839,633823,30-30 Thomson Ave L I City Qns,,
4840,642719,55 Water St Ny Ny,40.7032255,-74.00906706900255
4841,597089,"33-00 Northern Blvd., Lic Ny",,
4842,681436,12 Metrotech Center,38.89548545444131,-77.42525661264453
4843,540287,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4844,650387,30-30 47TH AVE,40.74226485,-73.93643212657696
4845,635995,96-05 Horace Harding Expway,,
4846,564713,96-05 Horace Harding Expway,,
4847,688161,"9 Metrotech Center, Brooklyn N",,
4848,592823,4055 Tenth Avenue,-27.47293796298882,152.980057345746
4849,689550,"11 Park Place, New York, Ny",40.6796837,-73.97774576090632
4850,656974,5 Manhattan West,40.7530239,-73.99951380079614
4851,633181,NYC - All Boroughs,,
4852,640193,30-30 47TH AVE,40.74226485,-73.93643212657696
4853,629711,42-09 28th Street,40.7493714,-73.93892728315782
4854,657404,240-250-252 Livingston Street,44.78806931283284,-69.37766142934575
4855,649964,"1826 Arthur Ave., Bronx",40.84407634999999,-73.89415404648156
4856,543029,75-20 Astoria Blvd,40.76463665,-73.89316259529446
4857,573114,96-05 Horace Harding Expway,,
4858,647501,NYC - All Boroughs,,
4859,647654,42-09 28th Street,40.7493714,-73.93892728315782
4860,636177,96-05 Horace Harding Expway,,
4861,686359,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4862,686315,30-30 47TH AVE,40.74226485,-73.93643212657696
4863,688715,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4864,630916,92-31 Union Hall St. Jamaica N,40.7037876,-73.7975015
4865,624008,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4866,635252,96-05 Horace Harding Expway,,
4867,632046,96-05 Horace Harding Expway,,
4868,597711,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4869,642115,30-30 Thomson Ave L I City Qns,,
4870,631602,96-05 Horace Harding Expway,,
4871,549403,96-05 Horace Harding Expway,,
4872,631502,470 Vanderbilt Ave,40.61464549999999,-74.08501205331763
4873,681608,30-30 Thomson Ave L I City Qns,,
4874,614689,"465 Columbus Ave. Valhalla, Ny",41.1072393,-73.7814049
4875,636708,4 World Trade Center,40.7102861,-74.01198503932034
4876,638493,55 Water St Ny Ny,40.7032255,-74.00906706900255
4877,682240,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4878,642364,255 Greenwich Street,40.7145279,-74.0112651
4879,621760,"22 Reade St, Ny",40.71432485,-74.0046293
4880,563844,96-05 Horace Harding Expway,,
4881,636639,"219 Beach 59Th St., Queens",40.5927128,-73.78929999014609
4882,685528,120 Schermerhorn St Bklyn Ny,,
4883,638504,"109 E 16Th St., N.Y.",40.735545,-73.9882133
4884,685675,55 Water St Ny Ny,40.7032255,-74.00906706900255
4885,635201,30-30 47TH AVE,40.74226485,-73.93643212657696
4886,544209,96-05 Horace Harding Expway,,
4887,636755,198 E161St Street Bronx N.Y.,41.03348540555301,-73.77553675669341
4888,636632,240-250-252 Livingston Street,44.78806931283284,-69.37766142934575
4889,589444,55 Water St Ny Ny,40.7032255,-74.00906706900255
4890,683890,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4891,682416,"125 Worth Street, Nyc",40.7154759,-74.0024952
4892,545210,4 World Trade Center,40.7102861,-74.01198503932034
4893,682400,165 Cadman Plaza East,40.6991155,-73.98931853949287
4894,565725,"182 Joline Ave, Staten Isl",,
4895,684409,"1 Hogan Pl./100 Centre St., N.",,
4896,638045,96-05 Horace Harding Expway,,
4897,688552,"58-50 57 Road, Maspeth, N.Y.",,
4898,564205,96-05 Horace Harding Expway,,
4899,685801,"100 Church St., N.Y.",,
4900,682654,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4901,628727,"520 1St Ave., N.Y.",40.9204798,-73.8087058
4902,640281,"2 Lafayette St., N.Y.",40.71403805,-74.00376405182158
4903,564043,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4904,629394,30-30 Thomson Ave L I City Qns,,
4905,631885,55 Water St Ny Ny,40.7032255,-74.00906706900255
4906,683375,100 Gold Street,40.71015435,-74.00323001164281
4907,639071,96-05 Horace Harding Expway,,
4908,611255,30-30 47TH AVE,40.74226485,-73.93643212657696
4909,630769,96-05 Horace Harding Expway,,
4910,637817,4 World Trade Center,40.7102861,-74.01198503932034
4911,623571,"455 First Ave., N.Y.",42.95370207856617,-74.29023999019816
4912,595024,96-05 Horace Harding Expway,,
4913,683708,100 Gold Street,40.71015435,-74.00323001164281
4914,685573,255 Greenwich Street,40.7145279,-74.0112651
4915,689724,"1 Centre St., N.Y.",,
4916,631079,34-33 Junction Blvd Queens,40.7542299,-73.87197820801393
4917,645375,"125 Worth Street, Nyc",40.7154759,-74.0024952
4918,689724,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4919,679116,198 E161St Street Bronx N.Y.,41.03348540555301,-73.77553675669341
4920,686751,9 Bond Street,51.5124609,-0.3058469
4921,685067,55 Water St Ny Ny,40.7032255,-74.00906706900255
4922,606847,55 Water St Ny Ny,40.7032255,-74.00906706900255
4923,640820,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4924,625852,253 Broadway New York Ny,41.5003214,-74.018638
4925,682143,30-30 Thomson Ave L I City Qns,,
4926,628923,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4927,682609,"303 9Th Ave., N.Y.",40.7495831,-73.99981108703705
4928,682623,NYC - All Boroughs,,
4929,623748,30-30 Thomson Ave L I City Qns,,
4930,556406,4 World Trade Center,40.7102861,-74.01198503932034
4931,680697,180 Maiden Lane,40.7052596,-74.00546339405317
4932,657404,240-250-252 Livingston Street,44.78806931283284,-69.37766142934575
4933,689240,100 Gold Street,40.71015435,-74.00323001164281
4934,687592,42-09 28th Street,40.7493714,-73.93892728315782
4935,635238,55 Water St Ny Ny,40.7032255,-74.00906706900255
4936,638572,Quality Assurance,-0.3693473,35.9336732
4937,687863,198 E161St Street Bronx N.Y.,41.03348540555301,-73.77553675669341
4938,682674,5 Manhattan West,40.7530239,-73.99951380079614
4939,629967,55 Water St Ny Ny,40.7032255,-74.00906706900255
4940,629967,55 Water St Ny Ny,40.7032255,-74.00906706900255
4941,639817,"22 Reade St, Ny",40.71432485,-74.0046293
4942,645042,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4943,650279,421 East 26th Street NY NY,40.73907695,-73.97508106543111
4944,647339,42-09 28th Street,40.7493714,-73.93892728315782
4945,621698,96-05 Horace Harding Expway,,
4946,644997,4 World Trade Center,40.7102861,-74.01198503932034
4947,689184,55 Water St Ny Ny,40.7032255,-74.00906706900255
4948,626147,"465 Columbus Ave. Valhalla, Ny",41.1072393,-73.7814049
4949,636902,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4950,686487,160 West 100Th Street Ny,40.79591505,-73.96767099891065
4951,647502,55 Water St Ny Ny,40.7032255,-74.00906706900255
4952,634284,154 St. Powells Cove-Whiteston,,
4953,685271,42-09 28th Street,40.7493714,-73.93892728315782
4954,618024,"1 Hogan Pl./100 Centre St., N.",,
4955,682202,100 Gold Street,40.71015435,-74.00323001164281
4956,590807,22 Cortlandt Street,40.71048155,-74.01048762400723
4957,626111,"465 Columbus Ave. Valhalla, Ny",41.1072393,-73.7814049
4958,639551,15 Metrotech,40.69303407446808,-73.98701461702129
4959,642040,"465 Columbus Ave. Valhalla, Ny",41.1072393,-73.7814049
4960,639122,30-30 Thomson Ave L I City Qns,,
4961,592858,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
4962,685125,198 E161St Street Bronx N.Y.,41.03348540555301,-73.77553675669341
4963,683148,160 West 100Th Street Ny,40.79591505,-73.96767099891065
4964,550302,"Wards Island, N.Y.",40.7876012,-73.9254149
4965,648175,"158 E 115Th St., N.Y.",40.79761115,-73.94178672164708
4966,683741,375 Pearl Street,40.71087575,-74.001184161
4967,555511,55 Water St Ny Ny,40.7032255,-74.00906706900255
4968,679084,100 Gold Street,40.71015435,-74.00323001164281
4969,688569,NYC - All Boroughs,,
4970,617402,30-30 Thomson Ave L I City Qns,,
4971,680136,REES - Intake & Outreach,,
4972,625621,30-30 Thomson Ave L I City Qns,,
4973,583051,55 Water St Ny Ny,40.7032255,-74.00906706900255
4974,599757,96-05 Horace Harding Expway,,
4975,689463,"125 Worth Street, Nyc",40.7154759,-74.0024952
4976,636166,30-30 Thomson Ave L I City Qns,,
4977,682038,"210 Joralemon St., Brooklyn",40.6923237,-73.9908936
4978,640259,"455 First Ave., N.Y.",42.95370207856617,-74.29023999019816
4979,642387,"1 Centre St., N.Y.",40.7130272,-74.00347421311828
4980,605618,4 World Trade Center,40.7102861,-74.01198503932034
4981,633449,30-30 Thomson Ave L I City Qns,,
4982,642115,30-30 Thomson Ave L I City Qns,,
4983,642345,4 World Trade Center,40.7102861,-74.01198503932034
4984,634585,"356 Flushing Ave, Brooklyn",40.6980791,-73.96038110820781
4985,639316,30-30 Thomson Ave L I City Qns,,
4986,636627,"455 First Ave., N.Y.",42.95370207856617,-74.29023999019816
4987,684730,100 Gold Street,40.71015435,-74.00323001164281
4988,629424,96-05 Horace Harding Expway,,
4989,680446,55 Water St Ny Ny,40.7032255,-74.00906706900255
4990,646416,92-31 Union Hall St. Jamaica N,40.7037876,-73.7975015
4991,646767,470 Vanderbilt Ave,40.61464549999999,-74.08501205331763
4992,632233,55 Water St Ny Ny,40.7032255,-74.00906706900255
4993,657090,100 Gold Street,40.71015435,-74.00323001164281
4994,637118,55 Water St Ny Ny,40.7032255,-74.00906706900255
4995,681574,30-30 Thomson Ave L I City Qns,,
4996,686967,South Beach,25.7744291,-80.1332415
4997,681982,160 West 100Th Street Ny,40.79591505,-73.96767099891065
4998,521300,75-20 Astoria Blvd,40.76463665,-73.89316259529446
4999,684812,100 Gold Street,40.71015435,-74.00323001164281
5000,686516,General Services,31.4418249,-100.4667225193378
5001,527828,Manhattan Floating Staff,,
5002,650435,42-09 28th Street,40.7493714,-73.93892728315782
5003,626699,59 Maiden Lane,40.70874625,-74.00810949328036
5004,620791,4 World Trade Center,40.7102861,-74.01198503932034
5005,686921,100 Gold Street,40.71015435,-74.00323001164281
5006,683783,"465 Columbus Ave. Valhalla, Ny",41.1072393,-73.7814049
5007,636933,"109 E 16Th St., N.Y.",40.735545,-73.9882133
5008,540271,"356 Flushing Ave, Brooklyn",40.6980791,-73.96038110820781
5009,682898,198 E161St Street Bronx N.Y.,41.03348540555301,-73.77553675669341
5010,604591,96-05 Horace Harding Expway,,
5011,617939,30-30 Thomson Ave L I City Qns,,
5012,583089,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5013,632995,199 River Road North,41.5635619,-73.957965
5014,681754,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
5015,582661,55 Water St Ny Ny,40.7032255,-74.00906706900255
5016,685253,42-09 28th Street,40.7493714,-73.93892728315782
5017,631306,96-05 Horace Harding Expway,,
5018,604725,59-17 Junction Blvd Corona Ny,40.74088156695801,-73.86754125830355
